Domain,A Records,MX Records,WHOIS Info
natixis.as,N/A,N/A,RDAP Source: https://rdap.org/domain/natixis.as | Registration: 2025-11-29T00:00:00Z | Last update of rdap database: 2026-03-07T08:29:03Z | Status: active
natixis.com.diy,N/A,N/A,RDAP Source: https://rdap.org/domain/natixis.com.diy | Registration: 2025-08-10T06:13:14.300Z | Expiration: 2026-08-10T06:13:14.300Z | Last changed: 2025-08-15T06:14:09.461Z | Last update of rdap database: 2026-03-07T08:26:50.161Z | Registrar: Gname.com Pte. Ltd. | Status: client transfer prohibited
natixis.sbs,N/A,N/A,"RDAP Source: https://rdap.org/domain/natixis.sbs | Registration: 2025-03-03T12:31:38.0Z | Expiration: 2027-03-03T23:59:59.0Z | Last update of rdap database: 2026-03-07T08:29:59.0Z | Last changed: 2026-03-04T00:22:23.0Z | Registrar: Atak Domain Bilgi Teknolojileri A.Ş. | Status: server hold, client hold, auto renew period"
natixiso.com,N/A,"20 mx2.ezmail.vip., 10 mx1.ezmail.vip.",RDAP Source: https://rdap.org/domain/natixiso.com | Registration: 2026-02-01T08:18:40Z | Expiration: 2027-02-01T08:18:40Z | Last changed: 2026-02-01T08:18:40Z | Last update of rdap database: 2026-03-07T08:24:31Z | Registrar: Gname.com Pte. Ltd. | Status: client transfer prohibited
natixos.com,103.180.237.138,0 natixos.com.,RDAP Source: https://rdap.org/domain/natixos.com | Registration: 2025-11-30T18:17:18Z | Expiration: 2026-11-30T18:17:18Z | Last changed: 2025-11-30T18:17:18Z | Last update of rdap database: 2026-03-07T08:27:46Z | Registrar: Tucows Domains Inc. | Status: active
natlxls.com,N/A,N/A,"RDAP Source: https://rdap.org/domain/natlxls.com | Registration: 2025-09-24T16:43:19Z | Expiration: 2026-09-24T16:43:19Z | Last changed: 2025-09-25T14:31:34Z | Last update of rdap database: 2026-03-07T08:31:01Z | Registrar: NameCheap, Inc. | Status: client hold, client transfer prohibited"
nautixis.com,209.17.116.160,N/A,"RDAP Source: https://rdap.org/domain/nautixis.com | Registration: 2025-07-11T21:52:38Z | Expiration: 2026-07-11T21:52:38Z | Last changed: 2025-07-11T21:52:42Z | Last update of rdap database: 2026-03-07T08:15:27Z | Registrar: Network Solutions, LLC | Status: client transfer prohibited"
