Domain,A Records,MX Records,WHOIS Info
natixia.com,64.190.63.222,0 localhost.,RDAP Source: https://rdap.org/domain/natixia.com | Registration: 2006-11-04T22:20:39Z | Expiration: 2026-11-04T22:20:39Z | Last changed: 2025-11-05T08:44:23Z | Last update of rdap database: 2026-03-07T08:24:16Z | Registrar: IONOS SE | Status: client transfer prohibited
natixid.com,"165.160.15.20, 165.160.13.20",10 custmx.cscdns.net.,"RDAP Source: https://rdap.org/domain/natixid.com | Registration: 2020-09-24T11:45:44Z | Expiration: 2026-09-24T11:45:44Z | Last changed: 2025-09-20T05:17:28Z | Last update of rdap database: 2026-03-07T08:24:45Z | Registrar: CSC Corporate Domains, Inc. | Status: client transfer prohibited"
natixiis.com,"165.160.15.20, 165.160.13.20",10 custmx.cscdns.net.,"RDAP Source: https://rdap.org/domain/natixiis.com | Registration: 2015-03-17T14:53:26Z | Expiration: 2026-03-17T14:53:26Z | Last changed: 2025-03-13T05:20:17Z | Last update of rdap database: 2026-03-07T08:26:01Z | Registrar: CSC Corporate Domains, Inc. | Status: client transfer prohibited"
natixim.com,188.165.53.185,"100 mx3.mail.ovh.net., 5 mx2.mail.ovh.net., 1 mx1.mail.ovh.net.","RDAP Source: https://rdap.org/domain/natixim.com | Registration: 2017-02-02T09:42:13Z | Expiration: 2027-02-02T09:42:13Z | Last changed: 2026-02-03T08:09:26Z | Last update of rdap database: 2026-03-07T08:26:31Z | Registrar: OVH sas | Status: client delete prohibited, client transfer prohibited"
natixir.com,162.255.119.148,"10 eforward2.registrar-servers.com., 15 eforward4.registrar-servers.com., 10 eforward1.registrar-servers.com., 20 eforward5.registrar-servers.com., 10 eforward3.registrar-servers.com.","RDAP Source: https://rdap.org/domain/natixir.com | Registration: 2024-11-19T12:45:49Z | Expiration: 2027-11-19T12:45:49Z | Last changed: 2026-02-17T10:30:49Z | Last update of rdap database: 2026-03-07T08:27:32Z | Registrar: NameCheap, Inc. | Status: client transfer prohibited"
natixis-com.lb,N/A,N/A,RDAP Source: https://rdap.org/domain/natixis-com.lb
natixis-com.ph,45.79.222.138,N/A,N/A
natixis-com.vg,88.198.29.97,N/A,N/A
natixis-com.ws,64.70.19.203,1 mail.hope-mail.com.,N/A
natixis-com.xn--fiqs8s,218.241.105.10,N/A,N/A
